form subj chunk f0med f0sd f0SAQ f0min f0max sdf0peak f0peakwidth f0peak_rate sdtf0peak df0posmean df0negmean df0sdpos df0sdneg emph cvint slLTASmed slLTAShigh  hnr SPI shimmer jitter 
Prof G c5 162 42.70 33.14 131 278 59.0 6.0 1.78 0.05 5.16 -6.06 2.94 6.67 1.3 16 -19.3 -20.2 12.3 14.3 5.4 2.5 
Prof G c6 173 37.29 32.40 119 263 46.1 7.8 1.76 0.39 4.73 -4.94 2.90 4.18 2.1 16 -18.9 -21.1 11.3 9.4 7.0 2.7 
Prof G c7 150 33.97 29.53 116 258 62.9 17.6 1.49 0.44 7.34 -4.81 7.53 5.28 2.0 20 -16.3 -24.3 12.9 10.6 6.3 2.3 
Prof G c8 179 36.45 28.52 119 258 45.4 9.1 1.60 0.27 5.75 -5.08 5.39 4.94 1.8 12 -17.9 -22.3 12.2 13.0 7.6 2.4 
Prof G c9 185 26.71 20.63 137 243 29.4 10.9 1.74 0.31 5.14 -3.09 3.24 4.05 2.0 22 -18.1 -22.7 12.4 11.4 6.8 1.9 
Prof G c10 199 34.88 28.86 128 246 30.0 5.0 1.58 0.24 3.49 -3.46 2.07 3.44 2.2 15 -17.3 -24.0 12.5 8.7 6.9 2.2 
Prof G c11 183 25.69 21.81 118 220 21.5 13.8 1.36 0.18 5.40 -3.22 5.10 3.54 2.4 18 -18.2 -21.7 11.3 13.3 8.6 2.2 
Prof G c12 150 38.55 16.70 131 316 65.3 3.6 1.56 0.26 4.28 -5.86 4.61 6.58 1.5 15 -17.9 -23.3 13.5 14.0 6.6 1.9 
Prof G c13 175 31.99 20.27 125 263 46.4 15.4 1.38 0.42 6.40 -3.48 6.74 4.03 2.3 20 -18.5 -22.1 11.9 11.8 7.7 2.4 
Prof G c14 184 35.15 25.66 124 263 45.7 5.9 1.31 0.38 4.20 -4.92 4.20 4.86 1.8 16 -17.9 -25.4 14.0 9.3 6.9 2.1 
Prof G c15 174 24.24 18.38 139 229 24.0 20.7 1.39 0.26 7.12 -5.15 3.88 4.18 1.8 14 -18.2 -25.6 12.9 11.7 6.9 2.2 
Prof G c16 166 13.75 10.99 142 194 9.1 25.4 1.72 0.38 4.36 -2.63 2.41 2.56 2.3 15 -16.1 -25.4 11.2 11.2 7.5 2.3 
Prof G c17 184 31.49 23.58 129 246 33.3 12.4 1.44 0.22 4.59 -3.35 3.06 3.97 1.6 22 -19.9 -28.0 13.5 11.3 6.4 2.0 
Prof G c18 186 33.63 27.68 119 242 24.7 9.1 1.45 0.42 5.24 -3.94 4.29 3.45 1.9 16 -17.1 -23.3 13.0 13.7 6.6 2.1 
Prof G c19 155 14.51 9.65 136 200 15.6 30.4 1.72 0.22 4.73 -3.49 4.28 2.98 2.4 13 -16.7 -24.3 10.6 12.4 8.1 2.4 
Prof G c20 198 32.95 25.19 115 250 22.7 9.0 1.57 0.41 5.23 -5.28 3.18 5.88 1.9 16 -18.1 -24.4 12.1 11.7 6.9 2.1 
Prof G c21 156 18.82 8.45 132 229 28.5 7.9 1.89 0.22 3.32 -1.53 4.06 3.57 1.5 23 -19.7 -24.0 12.1 12.3 6.9 2.2 
Prof G c22 181 40.17 35.22 113 245 38.0 4.3 1.70 0.35 4.58 -4.71 2.77 4.55 1.4 18 -16.9 -25.3 12.9 5.4 5.8 2.3 
Prof G c23 165 28.96 24.72 124 225 31.6 10.9 1.39 0.31 4.95 -2.95 4.22 2.86 2.0 14 -18.1 -20.5 12.4 11.7 6.4 1.9 
Prof G c24 179 38.85 22.26 119 272 49.6 4.9 1.26 0.12 5.24 -6.04 3.75 5.59 2.3 15 -18.2 -21.1 11.9 12.7 6.8 2.1 
Prof G c25 174 27.05 19.92 135 242 31.8 7.6 1.93 0.23 3.10 -3.45 2.63 4.49 1.5 17 -19.1 -25.6 13.5 6.6 6.6 1.9 
Prof G c26 174 33.50 32.08 120 229 32.4 8.9 1.47 0.05 4.52 -4.22 3.29 4.16 1.9 14 -17.8 -21.8 11.2 8.1 7.2 2.2 
Prof G c27 157 37.63 18.77 124 273 53.4 4.6 1.19 0.23 5.38 -3.18 3.40 5.10 1.6 22 -17.1 -25.0 12.9 13.6 7.0 2.2 
Prof G c28 157 32.91 16.47 128 256 40.5 6.1 1.39 0.29 3.96 -3.81 4.58 3.79 1.7 14 -17.5 -25.0 13.6 11.1 7.0 2.1 
Prof G c29 165 39.98 36.41 129 282 63.6 6.4 1.37 0.23 8.89 -4.50 11.00 3.89 2.0 15 -17.4 -22.0 11.4 13.4 7.4 2.3 
Prof G c30 182 29.84 24.23 122 253 30.1 12.5 1.56 0.28 4.33 -4.47 4.24 4.40 2.6 16 -16.8 -25.0 12.0 12.6 7.7 2.0 
